shopify_product_id,handle,status,sku,title
"gid://shopify/Product/15427468984652","campana-decorativa-aeg-gb67d61hl-60-cm-inox-negro-730-m3h-hob2-hood","ACTIVE","942022787","Campana Decorativa - AEG GB67D61HL, 60 cm, Inox Negro, 730 m3/h, Hob2 Hood"
"gid://shopify/Product/15427469476172","bateria-portatil-xiaomi-power-bank-33w-20000-mah-bronce","ACTIVE","6941812792155","Batería Portátil - XIAOMI Power Bank, 33W, 20000 mAh, Bronce"
"gid://shopify/Product/15427470164300","auriculares-inalambricos-sennheiser-accentum-wireless-blancos-50-h-de-autonomia","ACTIVE","700175","Auriculares Inalámbricos- SENNHEISER Accentum Wireless, Blancos, 50 h de autonomía"
"gid://shopify/Product/15427470786892","horno-multifuncion-cata-mes-8007-x-60-cm-inox","ACTIVE","7044609","Horno Multifunción - Cata MES 8007 X, 60 cm, Inox"
"gid://shopify/Product/15427471147340","licuadora-ufesa-lc55-activa","ACTIVE","71104430","Licuadora - Ufesa LC5050 Activa"
"gid://shopify/Product/15427471212876","exprimidor-ufesa-ex496-fresh","ACTIVE","71204619","Exprimidor - Ufesa EX4960 Fresh"
"gid://shopify/Product/15427471278412","exprimidor-ufesa-ex4936-activa-25w-rojo-y-blanco","ACTIVE","71204620","Exprimidor - Ufesa EX4936 Activa, 25W, Rojo y Blanco"
"gid://shopify/Product/15427471409484","exprimidor-ufesa-ex4942-activa","ACTIVE","71204652","Exprimidor - Ufesa EX4942 Activa"
"gid://shopify/Product/15427471606092","sandwichera-ufesa-sw785-activa","ACTIVE","71404439","Sandwichera - Ufesa SW7850 Activa"
"gid://shopify/Product/15427473506636","tv-miniled-tcl-75c7k-75-4k-uhd-googletv-bang-olufsen","ACTIVE","75C7K","TV MiniLED - TCL 75C7K, 75"", 4K UHD, GoogleTV, Bang & Olufsen"
"gid://shopify/Product/15427475702092","calefactor-ariete-80805-vintage-azul","ACTIVE","80805","Calefactor Ariete - 808/05, Vintage Azul"
"gid://shopify/Product/15427476029772","soporte-barra-de-sonido-vogels-sound-3550","ACTIVE","8153550","Soporte Barra de sonido - VOGEL'S Sound 3550"
